Deal_title,Lead_name,Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Contact_no,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Lead_POC_email,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating,Success_probability
TitleD39WW,"King, Martin and Tran Group",Banks,172054$,980707.8$,2019-03-11,Product_2,+1-129-822-2000x64051,500 Million - 1 Billion,Category 3,India,Ramagundam,keshar,SVP/General Counsel ,brookemurray@king.com,Artist,Others,Level 1,,"Georgakopoulos,Vasilios T",No,3,60.3
TitleWAFYW,Williams Inc Ltd,Banks,351560$,2285140.0$,2020-01-26,Product_1,9215348676,500 Million - 1 Billion,Category 3,,"Waco, TX",Amy Rubio,CEO/Co-Founder/Chairman,amyrubio@williams.com,Orthoptist,Marketing Event,Level 2,Following up but lead not responding,"Davis,Brian R",Not enough,3,26.35
TitleAZ7QV,Peterson-Johnson LLC,Wood/Paper,256279$,1409534.5$,2019-01-22,Product_2,+1-072-815-5824x29208,100 - 500 Million,Category 2,India,Bellary,khushbu,CEO/Co-Founder/Chairman,benjaminwade@petersonjohnson.com,"Surveyor, insurance",Others,Level 1,More than a week back,"Robinson,John C",Yes,4,60.400000000000006
Title8FXHN,Smith-Callahan PLC,Medical Equipment,256530$,1834189.5$,2019-09-18,Product_1,867-182-0934,100 - 500 Million,Category 1,USA,"Denver-Aurora-Lakewood, CO",Amanda Reed,Chairman/Chief Innovation Officer,amandareed@smithcallahan.com,Cabin crew,Marketing Event,Level 3,Did not hear back after Level 1,"Leu,Darren L",No,4,75.3
TitleIA4KB,Klein-Watson and Sons,Banks,414987$,2614418.1$,2019-04-28,Product_2,025-736-4817,50 - 100 Million,Category 2,India,Agra,geeta,CEO,ericajackson@kleinwatson.com,Science writer,Marketing Event,Level 3,,"Rocks,Michael J",Deliverable,3,66.3
Title65R4C,Joseph PLC Ltd,Healthcare Facilities/Services,10963$,70163.2$,2019-11-20,Product_2,058.324.6111,500 Million - 1 Billion,Category 3,USA,"Worcester, MA-CT",Angela Barrera,Chairman/Chief Innovation Officer,angelabarrera@joseph.com,"Designer, multimedia",Website,Level 3,No track,"Ross,Eric L",We have all the requirements,1,67.8
Title9KCBK,"Mccormick, Keith and Johnson and Sons",Restaurants,220271$,1365680.2$,2020-09-24,Product_2,395-639-5820,100 - 500 Million,Category 3,USA,"Jackson, TN",Carrie Reyes,Chairman/CEO/President,carriereyes@mccormick.com,Warden/ranger,Marketing Event,Level 1,5 days back,"Carter Sr,Clifton E",We have all the requirements,3,26.35
TitleIVZ0Y,"White, Floyd and Smith LLC",Information Services,184148$,1196962.0$,2020-03-15,Product_1,046.469.2682x5804,100 - 500 Million,Category 3,USA,"Trenton, NJ",Jeffrey Walls,CEO/Chairman/President,jeffreywalls@white.com,Chief Marketing Officer,Website,Level 3,Following up but lead not responding,"Carter Sr,Clifton E",We have all the requirements,1,69.4
TitleLVLHT,Brown Ltd PLC,Non-Profit,235495$,1566041.75$,2019-09-06,Product_2,001-712-125-9845x96411,50 - 100 Million,Category 2,USA,"Charlotte-Concord-Gastonia, NC-SC",Katherine Houston,CEO/Chairman/President,katherinehouston@brown.com,Air broker,Website,Level 3,More than a week back,"Kiepea,Prince A",Yes,5,75.7
TitleNVEKY,"Pope, Olson and Gardner Inc",Banks,146735$,1005134.75$,2020-01-14,Product_2,940-535-1735x597,500 Million - 1 Billion,Category 4,India,Lucknow,archna,CEO/Chairman/President,aaronthomas@pope.com,Jewellery designer,Marketing Event,Level 3,More than a week back,"Turner,Marlon D",Yes,2,26.35
Title8FAVH,Brown Ltd and Sons,Financial Services,443723$,2928571.8$,2019-09-12,Product_1,341-674-0796x13291,50 - 100 Million,Category 1,USA,"Corpus Christi, TX",George Morris,Executive Vice President,georgemorris@brown.com,Local government officer,Others,Level 3,Following up but lead not responding,"Davis,Brian R",Deliverable,3,72.8
TitleW2D9M,"Bailey, Scott and Thompson Inc",Insurance,499130$,3019736.5$,2020-10-13,Product_2,+1-273-995-2121,100 - 500 Million,Category 2,,"Michigan City-La Porte, IN",Gabriela Tate,Executive Vice President,gabrielatate@bailey.com,Financial planner,Website,Level 1,Up-to-date,"Ullrich,Rose Anne",Deliverable,3,69.7
TitleY9BHV,Riley-Bailey Group,Banks,65731$,430538.05$,2019-07-29,Product_1,870-470-2444x025,500 Million - 1 Billion,Category 1,USA,"Winston-Salem, NC",Jared Mcintyre,CEO,jaredmcintyre@rileybailey.com,Water quality scientist,Website,Level 2,Pending,"Thomas,Lori E",Yes,1,69.1
TitleT7UA0,Brown-Moore PLC,Other Investment Firms,293294$,1701105.2$,2020-06-09,Product_1,293-053-7896x73624,50 - 100 Million,Category 3,India,Chandigarh ,suhaliya,Executive Vice President,melissayoung@brownmoore.com,"Designer, furniture",Website,Level 2,Following up but lead not responding,"Meli,Teresa V",Not enough,2,59.2
Title3SS0N,Schwartz-Price Inc,Banks,374389$,2470967.4$,2020-10-26,Product_2,(782)537-4426,100 - 500 Million,Category 1,,Thiruvananthapuram,aarti devi,Chief Executive Officer,ericgonzalez@schwartzprice.com,Operations geologist,Marketing Event,Level 1,more than a month,"Davis,Sharrice A",Cannot deliver,5,66.0
TitleIH1RN,Hill LLC LLC,Aerospace/Defense,322925$,2115158.75$,2020-12-28,Product_2,001-218-522-5046x062,500 Million - 1 Billion,Category 2,USA,"Brownsville-Harlingen, TX",Gail Wright,CEO,gailwright@hill.com,Interpreter,Others,Level 3,Following up but lead not responding,"Kiepea,Prince A",We have all the requirements,5,107.34
TitleSSBLO,"Soto, Vasquez and Harris Group",Information Services,285103$,1667852.55$,2019-08-22,Product_2,037-485-7475,50 - 100 Million,Category 3,USA,"Knoxville, TN",David White,CEO/President,davidwhite@soto.com,"Buyer, industrial",Contact Email,Level 1,5 days back,"Hameier,Kurt E",Yes,3,64.1
TitleX1DB8,"Lucas, Strickland and Esparza PLC",Education/Training,30835$,181926.5$,2019-08-31,Product_2,659-304-5867x21732,100 - 500 Million,Category 2,USA,"Grand Forks, ND-MN",Erica Green,Chairman/CEO/President,ericagreen@lucas.com,"Programmer, systems",Marketing Event,Level 2,more than a month,"Ross,Eric L",Not enough,2,64.9
TitleQC121,"Gutierrez, Richmond and Bonilla and Sons",Medical Equipment,142946$,993474.7$,2020-10-22,Product_2,509.911.5008x7370,100 - 500 Million,Category 1,USA,"Albany, GA",Travis Hunter,CEO/President,travishunter@gutierrez.com,Sports coach,Marketing Event,Level 3,?,"Ross,Eric L",Deliverable,1,72.1
TitleLAY2T,"Vasquez, Peterson and Robinson Ltd",Banks,375694$,2310518.1$,2019-08-23,Product_1,+1-977-342-6094x6815,100 - 500 Million,Category 3,India,Faridabad,smt. jhamaku,CEO/Co-Founder/Chairman,donaldburns@vasquez.com,Research scientist (life sciences),Website,Level 2,More than 2 weeks,"Houston,Arnold E",Cannot deliver,3,62.900000000000006
TitleJ1TRX,Austin-Greer PLC,Sales/Marketing Services,435677$,2853684.35$,2020-10-29,Product_1,599.045.0748x87930,100 - 500 Million,Category 4,USA,"Decatur, IL",Robin Peck,CEO,robinpeck@austingreer.com,Plant breeder/geneticist,Others,Level 3,No track,"Green,Candy",Deliverable,2,66.6
Title3OY65,Williams-Gilmore Ltd,Associations,152347$,,2019-01-17,Product_1,947.915.9202x21562,100 - 500 Million,Category 4,USA,"Dubuque, IA",Corey Smith,CEO/Chairman/President,coreysmith@williamsgilmore.com,Haematologist,Contact Email,Level 2,Pending,"Anthony,Katherine D",Cannot deliver,4,65.8
TitleONFDQ,Best and Sons Group,Financial Services,486408$,2991409.2$,2020-11-29,Product_1,001-550-254-3442,500 Million - 1 Billion,Category 2,USA,"Anniston-Oxford-Jacksonville, AL",Dawn Montes,Chief Executive Officer,dawnmontes@best.com,Music tutor,Website,Level 2,5 days back,"Green,Ann E",Yes,2,69.6
Title2VW8O,"Ibarra, Morales and Hernandez Ltd",Investment Bank/Brokerage,145707$,903383.4$,2020-10-29,Product_1,001-367-386-7447x0872,100 - 500 Million,Category 1,India,Aurangabad,smt. pushpa,CEO,camerondiaz@ibarra.com,"Scientist, marine",Contact Email,Level 2,2 days back,"Clavey,Therese A",No,2,59.099999999999994
TitleZC7TA,Lewis-Roberts Inc,Photography,437525$,2756407.5$,2019-08-21,Product_1,590-571-6987x9873,500 Million - 1 Billion,Category 3,India,Porbandar,sunita haddu,Chairman/CEO/President,charlesmartinez@lewisroberts.com,Commercial art gallery manager,Marketing Event,Level 1,More than a week back,"Sutton,Michelle R",No,5,64.4
TitleG9JIJ,"Lindsey, Brown and Griffin LLC",REIT,117925$,778305.0$,2021-01-31,Product_2,748.016.7238x84600,100 - 500 Million,Category 4,India,Puri,anjali,Chairman/Chief Innovation Officer,alicewilson@lindsey.com,Interior and spatial designer,Marketing Event,Level 2,Did not hear back after Level 1,"Vickers Jr.,Henry J",Cannot deliver,3,62.099999999999994
Title3737L,Shelton LLC Group,Banks,375559$,2384799.65$,2019-01-03,Product_1,(439)983-4936x62141,50 - 100 Million,Category 3,,Saidapur,renu,CEO/Chairman/President,michaelthomas@shelton.com,Travel agency manager,Website,Level 3,more than a month,"Turner,Marlon D",,3,26.35
TitleVKE9E,Pierce PLC and Sons,Investment Bank/Brokerage,1555$,8708.0$,2019-03-27,Product_1,+1-199-025-2976x4336,500 Million - 1 Billion,Category 2,USA,"Decatur, AL",Michael Steele,Chairman/CEO/President,michaelsteele@pierce.com,"Buyer, retail",Others,Level 2,Did not hear back after Level 1,"Knox,Antonio D",Cannot deliver,2,64.3
TitleWC7HH,Fox-Cervantes LLC,Non-Profit,92873$,636180.05$,2020-09-29,Product_1,(028)288-1643x39913,500 Million - 1 Billion,Category 1,India,Krishnanagar,maya devi,CEO/Chairman/President,gabriellahoffman@foxcervantes.com,Glass blower/designer,Contact Email,Level 3,Up-to-date,"Knox,Antonio D",Cannot deliver,3,66.4
TitleXYLJI,"Aguilar, Wade and Clay PLC",Banks,152714$,946826.8$,2019-03-20,Product_1,157.017.9256x81335,100 - 500 Million,Category 3,USA,"Durham-Chapel Hill, NC",Brian Pruitt,CEO,brianpruitt@aguilar.com,Theatre director,Marketing Event,Level 2,more than a month,"Gilley,Janine",Yes,2,66.4
TitleEOC41,Snow-Smith PLC,Banks,55360$,340464.0$,2020-03-02,Product_2,334-156-7618,100 - 500 Million,Category 2,USA,"Burlington, NC",Latoya Lewis,Chairman/CEO/President,latoyalewis@snowsmith.com,"Surveyor, planning and development",Website,Level 2,More than a week back,"Irizarry,Yolanda",We have all the requirements,3,69.4
Title9ID5B,Rowe-Carroll and Sons,Other Investment Firms,153733$,930084.65$,2019-06-30,Product_2,+1-392-213-4782x51683,50 - 100 Million,Category 1,India,Mirzapur,ravina,CEO,dr.steve@rowecarroll.com,Electronics engineer,Contact Email,Level 2,More than a week back,"Featherstone,Adrian R",We have all the requirements,2,58.599999999999994
TitleC0HRY,Sutton-Perry and Sons,Insurance,35201$,214726.1$,2020-04-24,Product_1,6309475690,500 Million - 1 Billion,Category 1,,"Texarkana, TX-AR",Thomas Bowman,CEO/Chairman/President,thomasbowman@suttonperry.com,Musician,Others,Level 1,Following up but lead not responding,"Mabrey,Kevin C",Deliverable,3,67.3
TitleTNVUR,Carroll-Romero LLC,Information Services,142678$,913139.2$,2019-10-19,Product_1,343.665.9101x70783,50 - 100 Million,Category 1,USA,"Terre Haute, IN",Mary Chavez,CEO/Chairman/President,marychavez@carrollromero.com,Airline pilot,Website,Level 2,2 days back,"Himes,Maurice C",Cannot deliver,2,69.2
TitleQ8VA0,"Thomas, Waters and Anderson Inc",Banks,328822$,1923608.7$,2019-05-26,Product_2,001-256-898-9504x69807,50 - 100 Million,Category 3,India,Brahmapur,sangeeta @  pooja,CEO,hannahmartin@thomas.com,"Teacher, secondary school",Contact Email,Level 1,Pending,"Green,Ann E",Yes,5,59.2
TitleK3Z5V,Whitaker and Sons and Sons,Staffing/Outsourcing/HR,142371$,911174.4$,2019-11-28,Product_2,(759)332-0585x2871,100 - 500 Million,Category 1,USA,"Huntington-Ashland, WV-KY-OH",Natalie Nash,CEO,natalienash@whitaker.com,Best boy,Marketing Event,Level 1,More than 2 weeks,"Young,Valerie K",Yes,1,67.7
TitleKCTG2,Ramirez-Brady Inc,Government,251464$,1571650.0$,2020-10-20,Product_1,0781297073,500 Million - 1 Billion,Category 1,,Kavaratti,nidhi with mother rekha,SVP/General Counsel ,matthewlopez@ramirezbrady.com,"Designer, furniture",Website,Level 1,,"Booker,David L",Cannot deliver,2,26.35
TitleXOYQ6,"Travis, Townsend and Mcclure Ltd",Service Providers,407444$,2790991.4$,2020-10-24,Product_2,(472)300-7908x7526,500 Million - 1 Billion,Category 4,USA,"Pine Bluff, AR",Carol Turner,CEO,carolturner@travis.com,Geophysical data processor,Contact Email,Level 3,More than a week back,"Knox,Antonio D",Deliverable,1,66.7
Title4GP3G,Hubbard LLC LLC,Real Estate,263908$,1768183.6$,2020-08-05,Product_2,+1-886-614-8297,500 Million - 1 Billion,Category 2,India,Tiruchchirappalli,jyoti,CEO/Chairman/President,robertoconnor@hubbard.com,Tax inspector,Website,Level 3,Following up but lead not responding,"Ullrich,Rose Anne",We have all the requirements,5,107.34
Title93BJX,Escobar-Berg LLC,Banks,497932$,3261454.6$,2019-08-27,Product_2,+1-567-111-5440,100 - 500 Million,Category 1,USA,"Montgomery, AL",John Wilson,CEO,johnwilson@escobarberg.com,Immunologist,Website,Level 2,2 days back,"Maine,John P",Yes,2,107.34
Title0QDML,Simmons-Watts Group,Services,406839$,2481717.9$,2020-03-19,Product_2,001-819-171-3971x22811,500 Million - 1 Billion,Category 4,,Imphal,roobi mathur,Executive Vice President,brendajacobs@simmonswatts.com,Cytogeneticist,Others,Level 1,more than a month,"Gaskins Jr,Franklin D",We have all the requirements,3,59.8
TitleV57RK,Hicks-Jackson PLC,Software Consulting,180445$,1154848.0$,2019-05-12,Product_1,001-013-852-9101x11780,500 Million - 1 Billion,Category 3,India,Patiala,muskan,CEO,alicialee@hicksjackson.com,Sales promotion account executive,Website,Level 3,More than a week back,"Kiepea,Prince A",No,1,63.8
Title4IN7Y,"Wood, Hayes and Banks Ltd",Investment Bank/Brokerage,238163$,1440886.15$,2021-01-27,Product_1,3520310280,50 - 100 Million,Category 1,USA,"St. George, UT",Shannon Alvarez,CEO/President,shannonalvarez@wood.com,Land,Others,Level 1,No track,"Anthony,Katherine D",,4,68.4
TitleO9B8B,Pacheco and Sons LLC,Photography,368597$,2709187.95$,2020-05-13,Product_2,+1-447-717-7807x210,100 - 500 Million,Category 1,USA,"Memphis, TN-MS-AR",Katherine Thompson,Chairman/Chief Innovation Officer,katherinethompson@pacheco.com,Associate Professor,Marketing Event,Level 3,Did not hear back after Level 1,"Rocks,Michael J",We have all the requirements,5,77.4
Title3JI79,"Good, Hamilton and Williams Inc",Television/Cable,29751$,191893.95$,2020-08-27,Product_2,0955388131,500 Million - 1 Billion,Category 4,India,Mahabubnagar,seema,Executive Vice President,anthonyroy@good.com,Architectural technologist,Website,Level 1,Up-to-date,"Himes,Maurice C",Deliverable,5,61.2
Title0SVP8,"Brooks, Sanders and Phillips Ltd",Warehousing/Logistics,386849$,2514518.5$,2019-07-22,Product_2,(499)163-0668,500 Million - 1 Billion,Category 1,USA,"Raleigh, NC",Joshua Bauer,Chairman/CEO/President,joshuabauer@brooks.com,Tree surgeon,Contact Email,Level 1,5 days back,"Carter Sr,Clifton E",Deliverable,3,69.0
Title2SUR4,Bell-Martin LLC,Plastic/Rubber,369379$,2437901.4$,2019-06-29,Product_1,037-073-3608x16581,50 - 100 Million,Category 4,India,Alwar,seema,CEO/Co-Founder/Chairman,jaredyoung@bellmartin.com,Energy manager,Others,Level 3,,"Rocks,Michael J",No,5,64.4
TitleJJPQ3,Gonzalez Group PLC,Banks,324133$,1961004.65$,2019-10-21,Product_1,614.365.7154,50 - 100 Million,Category 1,USA,"Pittsfield, MA",Thomas Johnson,Executive Vice President,thomasjohnson@gonzalez.com,"Engineer, drilling",Others,Level 1,Did not hear back after Level 1,"Irizarry,Yolanda",No,3,68.4
TitleSUPGO,Rodriguez Ltd Group,Banks,313724$,2007833.6$,2020-11-27,Product_1,(288)103-4928,50 - 100 Million,Category 1,India,Karimnagar,priyanka,SVP/General Counsel ,sheliapark@rodriguez.com,"Surveyor, rural practice",Contact Email,Level 3,?,"Robinson,John C",Cannot deliver,2,107.34
TitleYBQAZ,Fischer Ltd Inc,Banks,294645$,1841531.25$,2020-07-09,Product_2,(546)626-7290x7875,500 Million - 1 Billion,Category 3,USA,"Sioux Falls, SD",April Ware,CEO/Co-Founder/Chairman,aprilware@fischer.com,Television floor manager,Others,Level 3,More than 2 weeks,"Gilley,Janine",Yes,1,68.5
Title42USC,Delacruz-Watson Inc,Specialty,263233$,1776822.75$,2019-05-04,Product_1,040-505-1998,50 - 100 Million,Category 4,India,Tharati Etawah,shabana @ gudiya,SVP/General Counsel ,jasonleblanc@delacruzwatson.com,Secondary school teacher,Website,Level 3,2 days back,"Bannister,Joan",We have all the requirements,3,64.6
TitleSP5I7,"Robertson, Nichols and Thompson LLC",eCommerce,325590$,2214012.0$,2019-12-22,Product_1,0155455425,100 - 500 Million,Category 1,USA,"Walla Walla, WA",Ronald Nelson,CEO,ronaldnelson@robertson.com,Investment analyst,Marketing Event,Level 2,Up-to-date,"Ullrich,Rose Anne",We have all the requirements,3,72.6
Title4S5QP,Mays Ltd and Sons,Staffing,76511$,474368.2$,2020-09-27,Product_2,+1-886-608-8828,50 - 100 Million,Category 3,USA,Source: U.S. Bureau of Economic Analysis,Joseph Miller,CEO/Chairman/President,josephmiller@mays.com,Town planner,Others,Level 3,Up-to-date,"Sutton,Michelle R",Cannot deliver,4,69.8
TitleOMXIT,Martinez and Sons Ltd,Materials/Manufacturing,110581$,646898.85$,2020-01-25,Product_2,997.347.3420x36587,50 - 100 Million,Category 1,,Ramagundam,smt narayn kaur,CEO,ginacruz@martinez.com,"Geologist, wellsite",Others,Level 2,More than a week back,"Gaskins Jr,Franklin D",Deliverable,2,59.900000000000006
TitleKCGMW,Sexton-Hopkins Ltd,SaaS,271467$,1655948.7$,2019-08-30,Product_1,+1-258-845-0329x6586,500 Million - 1 Billion,Category 3,USA,"Williamsport, PA",Ronnie Barnett DDS,Executive Vice President,ronniebarnett@sextonhopkins.com,"Scientist, forensic",Others,Level 2,Did not hear back after Level 1,"Ullrich,Rose Anne",Cannot deliver,3,107.34
TitleHBA59,Jones PLC and Sons,Recreational Services,148609$,,2019-06-13,Product_1,9089992473,500 Million - 1 Billion,Category 3,India,Meerut,sheetal,CEO/President,angelaclark@jones.com,"Therapist, sports",Others,Level 3,,"Morsy,Omar A",Deliverable,5,66.8
Title736AF,Greer and Sons Group,Network Infrastructure,482256$,2989987.2$,2019-09-05,Product_1,(701)044-9167,50 - 100 Million,Category 4,India,Kohima,priti,Vice President / GM (04-present) : VP Sales and Marketing (01-04),davidlarsen@greer.com,Research scientist (medical),Others,Level 3,more than a month,"Anthony,Katherine D",Yes,1,59.099999999999994
TitlePJ7XX,Young Group PLC,Grocery,205331$,1303851.85$,2020-04-19,Product_2,684-523-3970x4608,100 - 500 Million,Category 1,USA,"Monroe, LA",Juan Scott,Chairman/CEO/President,juanscott@young.com,Solicitor,Website,Level 1,,"Meli,Teresa V",No,2,68.0
TitleQ665Z,Wheeler-Thomas LLC,Financial Services,11744$,70464.0$,2020-08-22,Product_1,772-962-6160,50 - 100 Million,Category 4,India,Saharanpur,kanti,Chairman/CEO/President,oscarthompson@wheelerthomas.com,Music tutor,Website,Level 2,?,"Vickers Jr.,Henry J",Not enough,2,55.7
Title7X652,"Powers, Washington and Gray LLC",Hotels/Motels,57127$,325623.9$,2020-08-02,Product_2,(562)898-8039x17246,500 Million - 1 Billion,Category 2,USA,"Ames, IA",Jennifer Clark,Executive Vice President,jenniferclark@powers.com,Charity fundraiser,Contact Email,Level 1,More than 2 weeks,"Murray,Younetta",Deliverable,2,62.3
TitleWIN7X,Carlson PLC PLC,Other Investment Firms,46701$,301221.45$,2019-12-01,Product_2,376-981-4319x1233,500 Million - 1 Billion,Category 1,USA,"Watertown-Fort Drum, NY",Jessica Gonzalez,CEO/Chairman/President,jessicagonzalez@carlson.com,Armed forces logistics/support/administrative officer,Website,Level 1,No track,"Green,Ann E",No,3,69.6
TitleGSJ6P,"Figueroa, Compton and Martinez Inc",Biotech/Healthcare,316782$,2090761.2$,2020-02-03,Product_2,(211)816-1649x495,100 - 500 Million,Category 1,USA,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Allison Compton,CEO,allisoncompton@figueroa.com,"Designer, multimedia",Others,Level 2,more than a month,"Green,Candy",Cannot deliver,5,72.7
TitleR748S,"Noble, Sexton and Bailey Inc",Banks,395208$,2292206.4$,2021-01-17,Product_2,644-906-6042x1660,500 Million - 1 Billion,Category 2,USA,"Kalamazoo-Portage, MI",Anthony Adkins,CEO/Chairman/President,anthonyadkins@noble.com,"Administrator, education",Others,Level 2,?,"Dunaway,Antoine",Cannot deliver,1,67.3
Title490JQ,Richards Inc LLC,Financial Services,447574$,2819716.2$,2021-01-21,Product_1,129.732.1915x67300,500 Million - 1 Billion,Category 3,India,Ghaziabad,baby,CEO/Chairman/President,marybarnes@richards.com,IT sales professional,Contact Email,Level 2,Up-to-date,"Davis,Sharrice A",No,5,62.8
TitleE6HRX,Dixon-Shaw Ltd,Other Investment Firms,228257$,1506496.2$,2020-05-28,Product_1,(470)434-0979x27266,100 - 500 Million,Category 4,USA,"Knoxville, TN",Jennifer Carter,CEO/President,jennifercarter@dixonshaw.com,"Lighting technician, broadcasting/film/video",Marketing Event,Level 1,?,"Mabrey,Kevin C",Cannot deliver,3,67.4
TitleX1YFV,"Miller, Yang and Russell Inc",Education/Training,487205$,2850149.25$,2020-11-13,Product_2,324.402.1863,100 - 500 Million,Category 2,India,Nasik,preeti,CEO/Co-Founder/Chairman,matthewthompson@miller.com,"Surveyor, building control",Others,Level 3,Up-to-date,"Ali,Mohamed",We have all the requirements,1,61.599999999999994
Title67M84,"Payne, Ramirez and Wood Ltd",Industrial Equip,350492$,2313247.2$,2019-03-27,Product_1,001-351-163-6157x6195,100 - 500 Million,Category 4,USA,"Columbus, GA-AL",Julie Coleman,CEO/Chairman/President,juliecoleman@payne.com,Health physicist,Marketing Event,Level 1,No track,"Kiepea,Prince A",Cannot deliver,3,107.34
Title1FN3B,Miller Inc and Sons,Financial Services,120232$,715380.4$,2019-12-26,Product_1,2416021904,500 Million - 1 Billion,Category 2,India,Ratlam,vibha devi,CEO/Chairman/President,victoriasmith@miller.com,Land/geomatics surveyor,Others,Level 3,5 days back,"Young,Valerie K",Yes,1,63.0
Title9WEEN,Hamilton-Oneal LLC,Schools,84083$,517110.45$,2019-04-27,Product_2,931-665-4929,100 - 500 Million,Category 4,India,Shahbazpur,manno,SVP/General Counsel ,charleswilliams@hamiltononeal.com,"Accountant, chartered certified",Website,Level 1,,"Georgakopoulos,Vasilios T",No,1,57.5
TitleX32JR,"Kaiser, Lutz and Green Group",Sales/Marketing Services,358221$,2597102.25$,2019-09-13,Product_1,966-342-5671,500 Million - 1 Billion,Category 1,USA,"Greenville-Anderson-Mauldin, SC",Katherine Jennings,Chairman/CEO/President,katherinejennings@kaiser.com,Control and instrumentation engineer,Marketing Event,Level 3,2 days back,"Ross,Eric L",We have all the requirements,3,26.35
TitleX8UK3,Turner-Cruz Inc,Banks,74223$,445338.0$,2021-01-14,Product_2,001-076-862-3814x17240,500 Million - 1 Billion,Category 1,India,Aurangabad,reena,CEO/President,garycastillo@turnercruz.com,"Engineer, mining",Contact Email,Level 1,No track,"Davis,Brian R",Yes,1,26.35
TitleLVD2T,Taylor-Mcgee Ltd,Financial Services,48968$,303601.6$,2019-02-07,Product_2,(910)891-0007x371,100 - 500 Million,Category 2,,"Bremerton-Silverdale, WA",Karl Lawson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),karllawson@taylormcgee.com,"Accountant, chartered",Website,Level 3,More than 2 weeks,"Logan,Kevin N",Cannot deliver,1,67.9
TitleQXCRV,Bennett Ltd Ltd,Other Biz Services,461983$,2841195.45$,2019-02-04,Product_2,+1-881-284-6436x8212,100 - 500 Million,Category 3,USA,"San Francisco-Oakland-Hayward, CA",Keith Thompson,CEO,keiththompson@bennett.com,"Designer, graphic",Website,Level 1,?,"Bannister,Joan",Not enough,4,68.2
TitleTS3O8,Vargas-Thornton Inc,Insurance,310873$,2005130.85$,2020-03-31,Product_2,6697739749,500 Million - 1 Billion,Category 3,India,Saidpur,kavita,SVP/General Counsel ,garypineda@vargasthornton.com,"Engineer, water",Marketing Event,Level 3,Following up but lead not responding,"Hebron,Artenia D",We have all the requirements,1,63.5
Title34NDU,Brooks-Williams and Sons,Healthcare Facilities/Services,419797$,2854619.6$,2020-09-27,Product_1,(627)494-1658,100 - 500 Million,Category 4,,"Bellingham, WA",Emily Morgan,Executive Vice President,emilymorgan@brookswilliams.com,Solicitor,Marketing Event,Level 2,2 days back,"Brown,Maxine A",Deliverable,4,107.34
TitleEDM8I,"Lane, Allen and Schmidt LLC",Financial Services,49485$,299384.25$,2019-12-23,Product_1,+1-893-605-9328x550,500 Million - 1 Billion,Category 3,USA,"Virginia Beach-Norfolk-Newport News, VA-NC",Christy Norman,Chairman/Chief Innovation Officer,christynorman@lane.com,"Journalist, magazine",Website,Level 1,No track,"Gaskins Jr,Franklin D",Not enough,3,66.6
TitlePGVEP,Campbell-Salazar Inc,Non-Profit,177492$,1100450.4$,2019-07-18,Product_2,186.337.7841x6931,50 - 100 Million,Category 4,India,Malegaon Camp,poonam,CEO/Co-Founder/Chairman,denisewells@campbellsalazar.com,Air broker,Others,Level 3,Up-to-date,"Robinson,John C",No,2,59.099999999999994
TitleLX829,"Krause, Rodriguez and Holmes Group",Other Investment Firms,235853$,1474081.25$,2019-10-04,Product_2,+1-554-757-1154x0873,50 - 100 Million,Category 3,USA,"Charlotte-Concord-Gastonia, NC-SC",Carrie Nolan,SVP/General Counsel ,carrienolan@krause.com,Careers information officer,Marketing Event,Level 1,More than 2 weeks,"Bannister,Joan",Cannot deliver,5,107.34
Title9KA16,Everett PLC and Sons,Services,10101$,72222.15$,2020-05-24,Product_1,001-370-220-9529x07926,100 - 500 Million,Category 1,USA,"Jefferson City, MO",Dennis Rivas,CEO/Co-Founder/Chairman,dennisrivas@everett.com,Cabin crew,Marketing Event,Level 3,2 days back,"Houston,Arnold E",Deliverable,5,74.4
TitleFRP51,Cooper Ltd Ltd,Investment Bank/Brokerage,408037$,2448222.0$,2019-09-26,Product_1,(430)269-2126x109,100 - 500 Million,Category 3,India,Chanda,rena devi,CEO/President,jenniferfox@cooper.com,Bonds trader,Marketing Event,Level 2,2 days back,"Brown,Maxine A",Deliverable,2,59.400000000000006
TitleBX26F,Reese-Villanueva Group,Medical Equipment,64591$,442448.35$,2020-04-11,Product_2,537-217-3800,100 - 500 Million,Category 1,USA,"Kahului-Wailuku-Lahaina, HI",Jonathan Barton,SVP/General Counsel ,jonathanbarton@reesevillanueva.com,Civil Service administrator,Marketing Event,Level 3,?,"Brown,Maxine A",We have all the requirements,1,70.1
Title9K7EK,Calderon and Sons PLC,Non-Profit,46383$,,2020-08-26,Product_2,811-394-3395,500 Million - 1 Billion,Category 2,USA,"Enid, OK",Joseph Boyle,CEO/Co-Founder/Chairman,josephboyle@calderon.com,Medical illustrator,Marketing Event,Level 2,?,"Himes,Maurice C",Not enough,3,69.5
